# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559809314982e-26       4.636603989638e-09       2.157173308871e+22       1.406029682881e+04       1.406029682881e-10       1.406029682881e+18       2.676420419331e-09       2.751479771419e+44       2.488912738110e+33       1.361883668610e+34       6.329081912896e+43       2.109693970965e+43       3.430164207620e-08       1.269008721634e+44       4.653396684504e+44       4.653396684504e+44       1.551132228114e+44      -1.338424416407e+53       5.356876597066e-06       2.000000000000e+00 
       9.893085837570e+13       7.724089334066e-26       4.685716703534e-09       2.111293412039e+22       1.406029682881e+04       1.421224586510e-10       1.390997234292e+18       2.705344383538e-09       2.635684565162e+44       2.409933186015e+33       1.318667624710e+34       6.062724386616e+43       2.020908128872e+43       3.430164207620e-08       1.215602867740e+44       4.457559871719e+44       4.457559871719e+44       1.485853290521e+44      -1.268389788602e+53       5.472038516881e-06       1.957908951181e+00 
       9.787314738953e+13       7.891939257364e-26       4.736648406833e-09       2.066389312991e+22       1.406029682881e+04       1.436583700824e-10       1.376125503867e+18       2.734580926802e-09       2.524762565653e+44       2.333459856639e+33       1.276822936158e+34       5.807576437456e+43       1.935858812485e+43       3.430164207620e-08       1.164444583293e+44       4.269964792842e+44       4.269964792842e+44       1.423321597564e+44      -1.202019804860e+53       5.587200436684e-06       1.917553041712e+00 
       9.682674483178e+13       8.063436668106e-26       4.787580110133e-09       2.022440257945e+22       1.406029682881e+04       1.452108800439e-10       1.361412773302e+18       2.764133427726e-09       2.418508685440e+44       2.259413221140e+33       1.236306086347e+34       5.563166313705e+43       1.854388771235e+43       3.430164207620e-08       1.115439280001e+44       4.090264596958e+44       4.090264596958e+44       1.363421532271e+44      -1.139122708381e+53       5.702362356478e-06       1.878827146122e+00 
       9.579152979933e+13       8.238660842245e-26       4.838511813432e-09       1.979425934524e+22       1.406029682881e+04       1.467801679153e-10       1.346857342665e+18       2.794005301430e-09       2.316726468112e+44       2.187716274329e+33       1.197074939567e+34       5.329042117179e+43       1.776347372393e+43       3.430164207620e-08       1.068496350296e+44       3.918127030268e+44       3.918127030268e+44       1.306042343375e+44      -1.079516776266e+53       5.817524276275e-06       1.841634462244e+00 
       9.476738268169e+13       8.417692760896e-26       4.891262506135e-09       1.937326462364e+22       1.406029682881e+04       1.483664150147e-10       1.332457530194e+18       2.824199999181e-09       2.219227725071e+44       2.118294454587e+33       1.159088697180e+34       5.104770967696e+43       1.701590322565e+43       3.430164207620e-08       1.023528999798e+44       3.753233821776e+44       3.753233821776e+44       1.251077940546e+44      -1.023029794477e+53       5.932686196069e-06       1.805885704713e+00 
       9.375418514718e+13       8.600615168627e-26       4.944013198838e-09       1.896122383926e+22       1.406029682881e+04       1.499698046198e-10       1.318211672113e+18       2.854721009725e-09       2.125832187576e+44       2.051075566329e+33       1.122307855192e+34       4.889938202708e+43       1.629979400903e+43       3.430164207620e-08       9.804540868467e+43       3.595280094826e+44       3.595280094826e+44       1.198426698231e+44      -9.694985602803e+52       6.047848115863e-06       1.771498388655e+00 
       9.275182012925e+13       8.787512610119e-26       4.998582880944e-09       1.855794655506e+22       1.406029682881e+04       1.515905219889e-10       1.304118122430e+18       2.885571859568e-09       2.036367173446e+44       1.985989704916e+33       1.086694163174e+34       4.684146610616e+43       1.561382203539e+43       3.430164207620e-08       9.391919687705e+43       3.443973803406e+44       3.443973803406e+44       1.147991267759e+44      -9.187684107145e+52       6.163010035657e-06       1.738396194400e+00 
       9.176017181296e+13       8.978471473005e-26       5.051333573647e-09       1.816324638431e+22       1.406029682881e+04       1.532287543824e-10       1.290175252753e+18       2.916756113349e-09       1.950667267775e+44       1.922969183965e+33       1.052210584478e+34       4.487015696352e+43       1.495671898784e+43       3.430164207620e-08       8.996663546377e+43       3.299035192172e+44       3.299035192172e+44       1.099678397349e+44      -8.706927757405e+52       6.278171955449e-06       1.706508402067e+00 
       9.077912562158e+13       9.173580012778e-26       5.105903255753e-09       1.777694090445e+22       1.406029682881e+04       1.548846910844e-10       1.276381452099e+18       2.948277374102e-09       1.868574017097e+44       1.861948464951e+33       1.018821257726e+34       4.298180977872e+43       1.432726992624e+43       3.430164207620e-08       8.618041641973e+43       3.160196279201e+44       3.160196279201e+44       1.053398759694e+44      -8.251327547680e+52       6.393333875238e-06       1.675769387306e+00 
