# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 532.029 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048913619744e-05       4.733696411069e+01 
       2.342140773732e-05       1.028549003930e+02 
       3.639951393422e-05       1.574703565206e+02 
       4.945865292850e-05       2.117452770501e+02 
       6.263460958890e-05       2.660041725003e+02 
       7.596407713401e-05       3.204931270698e+02 
       8.948498911526e-05       3.754245161285e+02 
       1.032368662096e-04       4.309953352721e+02 
       1.172611823036e-04       4.873966908214e+02 
       1.316017543838e-04       5.448196010965e+02 
       1.463051607555e-04       6.034590319357e+02 
       1.614211920422e-04       6.635171177600e+02 
       1.770033392347e-04       7.252059105445e+02 
       1.931093226606e-04       7.887499326933e+02 
       2.098016650545e-04       8.543886377415e+02 
       2.271483107720e-04       9.223788385588e+02 
       2.452232914333e-04       9.929971838867e+02 
       2.641074356809e-04       1.066542648138e+03 
       2.838891169918e-04       1.143339004699e+03 
       3.046650282651e-04       1.223737313900e+03 
       3.265409648010e-04       1.308118246244e+03 
       3.496325878936e-04       1.396894188244e+03 
       3.740661291700e-04       1.490510973436e+03 
       3.999789807959e-04       1.589448923495e+03 
       4.275200987676e-04       1.694222999110e+03 
       4.568501263454e-04       1.805381790536e+03 
       4.881411237505e-04       1.923504505211e+03 
       5.215757713235e-04       2.049196201469e+03 
       5.573459008793e-04       2.183079936631e+03 
       5.956502102434e-04       2.325785919218e+03 
       6.366910367270e-04       2.477937337035e+03 
       6.806701147961e-04       2.640132254641e+03 
       7.277833277353e-04       2.812922274962e+03 
       7.782145837514e-04       2.996788620533e+03 
       8.321290954875e-04       3.192116649637e+03 
       8.896664979055e-04       3.399170993238e+03 
       9.509343706579e-04       3.618073216683e+03 
       1.016002798899e-03       3.848784914765e+03 
       1.084900577541e-03       4.091097728474e+03 
       1.157613523715e-03       4.344632745388e+03 
       1.234085125375e-03       4.608848971877e+03 
       1.314219465042e-03       4.883061060902e+03 
       1.397886078791e-03       5.166464257984e+03 
       1.484926201511e-03       5.458162757914e+03 
       1.575159748031e-03       5.757201656124e+03 
       1.668392391986e-03       6.062596379935e+03 
       1.764422207752e-03       6.373359812980e+03 
       1.863045496357e-03       6.688525676997e+03 
       1.964061583751e-03       7.007165794600e+03 
       2.067276527989e-03       7.328403991024e+03 
       2.172505783828e-03       7.651425301207e+03 
       2.279575944472e-03       7.975480379494e+03 
       2.388325715341e-03       8.299887334921e+03 
       2.498606282439e-03       8.624032190511e+03 
       2.610281227626e-03       8.947364996230e+03 
       2.723226123101e-03       9.269396466476e+03 
       2.837327913657e-03       9.589694684606e+03 
       2.952484171715e-03       9.907879221572e+03 
       3.068602289015e-03       1.022361846226e+04 
       3.185598651073e-03       1.053662113530e+04 
       3.303397826189e-03       1.084663737256e+04 
       3.421931789856e-03       1.115344816966e+04 
       3.541139197128e-03       1.145686748924e+04 
       3.660964709613e-03       1.175673532606e+04 
       3.781358379561e-03       1.205291550258e+04 
       3.902275090689e-03       1.234529385224e+04 
       4.023674053606e-03       1.263377513149e+04 
       4.145518352558e-03       1.291827980930e+04 
       4.267774539674e-03       1.319874364110e+04 
       4.390412272607e-03       1.347511608741e+04 
       4.513403991518e-03       1.374735659324e+04 
       4.636724631434e-03       1.401543560828e+04 
       4.760351366301e-03       1.427933135282e+04 
       4.884263381286e-03       1.453901719872e+04 
       5.008441670217e-03       1.479453929922e+04 
       5.132868855323e-03       1.504583435858e+04 
       5.257529026745e-03       1.529293386394e+04 
       5.382407599560e-03       1.553584320614e+04 
       5.507491186286e-03       1.577460343585e+04 
       5.632767483114e-03       1.600919245366e+04 
       5.758225168262e-03       1.623963729247e+04 
       5.883853811080e-03       1.646597831030e+04 
       6.009643790671e-03       1.668822920831e+04 
       6.135586222941e-03       1.690642206243e+04 
       6.261672895139e-03       1.712057992090e+04 
       6.387896207034e-03       1.733074476820e+04 
       6.514249118001e-03       1.753694158414e+04 
       6.640725099351e-03       1.773920594600e+04 
       6.767318091347e-03       1.793757426956e+04 
       6.894022464387e-03       1.813207691557e+04 
       7.020832983904e-03       1.832275594473e+04 
       7.147744778602e-03       1.850964500855e+04 
