# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 532.02 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248129e-05       4.733716040224e+01 
       2.342123590979e-05       1.028547332286e+02 
       3.639918262474e-05       1.574698275934e+02 
       4.945815947218e-05       2.117443866663e+02 
       6.263394999348e-05       2.660029060204e+02 
       7.596324602704e-05       3.204914765559e+02 
       8.948397967068e-05       3.754224578736e+02 
       1.032356700525e-04       4.309928422011e+02 
       1.172597893914e-04       4.873937353950e+02 
       1.316001528626e-04       5.448161394072e+02 
       1.463033367875e-04       6.034550215837e+02 
       1.614191296041e-04       6.635125040796e+02 
       1.770010198816e-04       7.252006329485e+02 
       1.931067252532e-04       7.887439241266e+02 
       2.097987654464e-04       8.543818134066e+02 
       2.271450814529e-04       9.223711096398e+02 
       2.452197011257e-04       9.929884467121e+02 
       2.641034488872e-04       1.066532779461e+03 
       2.838846934915e-04       1.143327876497e+03 
       3.046601225619e-04       1.223724765095e+03 
       3.265355255251e-04       1.308104109674e+03 
       3.496265571665e-04       1.396878271102e+03 
       3.740594419477e-04       1.490493052425e+03 
       3.999715642134e-04       1.589428760492e+03 
       4.275118715176e-04       1.694200312706e+03 
       4.568409981400e-04       1.805356257842e+03 
       4.881309949252e-04       1.923475833796e+03 
       5.215645326629e-04       2.049163997853e+03 
       5.573334337544e-04       2.183043792027e+03 
       5.956363871604e-04       2.325745444611e+03 
       6.366757223889e-04       2.477892060785e+03 
       6.806531677603e-04       2.640081702990e+03 
       7.277646027162e-04       2.812865961152e+03 
       7.781939345582e-04       2.996726045902e+03 
       8.321063785091e-04       3.192047333012e+03 
       8.896415759609e-04       3.399094459012e+03 
       9.509071169468e-04       3.617989043938e+03 
       1.015973100723e-03       3.848692645992e+03 
       1.084868339453e-03       4.090996976287e+03 
       1.157578669793e-03       4.344523180376e+03 
       1.234047600424e-03       4.608730295153e+03 
       1.314179234646e-03       4.882933056348e+03 
       1.397843128301e-03       5.166326502503e+03 
       1.484880534150e-03       5.458015036156e+03 
       1.575111382386e-03       5.757043666866e+03 
       1.668341359184e-03       6.062427795338e+03 
       1.764368548567e-03       6.373180398453e+03 
       1.862989258470e-03       6.688334885472e+03 
       1.964002819302e-03       7.006963172920e+03 
       2.067215291503e-03       7.328188989914e+03 
       2.172442130531e-03       7.651197354149e+03 
       2.279509928987e-03       7.975238718341e+03 
       2.388257390732e-03       8.299631521071e+03 
       2.498535699536e-03       8.623761172087e+03 
       2.610208434596e-03       8.947077064537e+03 
       2.723151165204e-03       9.269092060488e+03 
       2.837250833138e-03       9.589372258371e+03 
       2.952405007804e-03       9.907537951522e+03 
       3.068521078003e-03       1.022325694499e+04 
       3.185515426431e-03       1.053623887451e+04 
       3.303312618722e-03       1.084623276557e+04 
       3.421844627872e-03       1.115302123945e+04 
       3.541050106612e-03       1.145641639024e+04 
       3.660873714409e-03       1.175625989099e+04 
       3.781265501538e-03       1.205241466605e+04 
       3.902180349907e-03       1.234476828154e+04 
       4.023577468473e-03       1.263322310188e+04 
       4.145419939971e-03       1.291770208782e+04 
       4.267674315153e-03       1.319814046154e+04 
       4.390310250418e-03       1.347448623855e+04 
       4.513300184784e-03       1.374670205925e+04 
       4.636619052237e-03       1.401475709217e+04 
       4.760244025775e-03       1.427862141975e+04 
       4.884154289702e-03       1.453828984429e+04 
       5.008330837058e-03       1.479375856800e+04 
       5.132756289353e-03       1.504507262128e+04 
       5.257414736073e-03       1.529214812276e+04 
       5.382291591695e-03       1.553502067124e+04 
       5.507373468190e-03       1.577377860375e+04 
       5.632648061246e-03       1.600831164690e+04 
       5.758104048621e-03       1.623878955650e+04 
       5.883730999243e-03       1.646513116803e+04 
       6.009519291827e-03       1.668737480051e+04 
       6.135460041924e-03       1.690552450904e+04 
       6.261545036453e-03       1.711969075824e+04 
       6.387766674883e-03       1.732982992850e+04 
       6.514117916308e-03       1.753601765569e+04 
       6.640592231781e-03       1.773824927757e+04 
       6.767183561329e-03       1.793660650789e+04 
       6.893886275127e-03       1.813109766559e+04 
       7.020695138404e-03       1.832175328927e+04 
       7.147605279674e-03       1.850860369393e+04 
       7.274612161938e-03       1.869171850744e+04 
       7.401711556560e-03       1.887110669644e+04 
       7.528899519528e-03       1.904682147051e+04 
       7.656172369863e-03       1.921889099712e+04 
       7.783526669963e-03       1.938735620814e+04 
       7.910959207681e-03       1.955226316129e+04 
       8.038466979969e-03       1.971364167158e+04 
       8.166047177935e-03       1.987152919204e+04 
       8.293697173181e-03       2.002596150392e+04 
       8.421414505290e-03       2.017699250263e+04 
       8.549196870360e-03       2.032465117256e+04 
       8.677042110490e-03       2.046897319125e+04 
       8.804948204119e-03       2.060999764287e+04 
       8.932913257155e-03       2.074776306992e+04 
       9.060935494807e-03       2.088230780865e+04 
       9.189013254071e-03       2.101366308159e+04 
       9.317144976802e-03       2.114186168913e+04 
       9.445329203328e-03       2.126695326415e+04 
       9.573564566551e-03       2.138896443801e+04 
       9.701849786507e-03       2.150792726563e+04 
       9.830183665328e-03       2.162388472404e+04 
       9.958565082591e-03       2.173686482295e+04 
       1.008699299100e-02       2.184690747282e+04 
       1.021546641242e-02       2.195403941229e+04 
       1.034398443414e-02       2.205829952393e+04 
       1.047254620547e-02       2.215972371248e+04 
       1.060115093456e-02       2.225834202038e+04 
       1.072979788545e-02       2.235417619139e+04 
       1.085848637530e-02       2.244727895956e+04 
       1.098721577188e-02       2.253767373627e+04 
       1.111598549119e-02       2.262539105598e+04 
       1.124479499524e-02       2.271046180498e+04 
       1.137364379004e-02       2.279292476373e+04 
       1.150253142369e-02       2.287280046483e+04 
